member,category,item,order
1,2,144,147456
1,2,145,148480
1,2,146,149504
1,2,147,150528
1,2,148,151552
1,2,149,152576
1,2,150,153600
1,2,151,154624
1,2,152,155648
1,2,153,156672
1,2,154,157696
1,2,155,158720
1,2,156,159744
1,2,157,160768
1,2,158,161792
1,2,159,162816
1,2,160,163840
1,2,161,164864
1,2,162,165888
1,2,163,166912
1,2,164,167936
1,2,165,168960
1,2,166,169984
1,2,167,171008
1,2,168,172032
1,2,169,173056
1,2,170,174080
1,2,171,175104
1,2,172,176128
1,2,173,177152
1,2,174,178176
1,2,175,179200
1,2,176,180224
1,2,177,181248
1,2,178,182272
1,2,179,183296
1,2,180,184320
1,2,181,185344
1,2,182,186368
1,2,183,187392
1,2,184,188416
1,2,185,189440
1,2,186,190464
1,2,187,191488
1,2,188,192512
1,2,189,193536
1,2,190,194560
1,2,191,195584
1,2,192,196608
1,2,193,197632
1,2,194,198656
1,2,195,199680
1,2,196,200704
1,2,197,201728
1,2,198,202752
1,2,199,203776
1,2,200,204800
1,2,201,205824
1,2,202,206848
1,2,203,207872
1,2,204,208896
1,2,205,209920
1,2,206,210944
1,2,207,211968
1,2,208,212992
1,2,209,214016
1,2,210,215040
1,2,211,216064
1,2,212,217088
1,2,213,218112
1,2,214,219136
1,2,215,220160
1,2,216,221184
1,2,217,222208
1,2,218,223232
1,2,219,224256
1,2,220,225280
1,2,221,226304
1,2,222,227328
1,2,223,228352
1,2,224,229376
1,2,225,230400
1,2,226,231424
1,2,227,232448
1,2,228,233472
1,2,229,234496
1,2,230,235520
1,2,231,236544
1,2,232,237568
1,2,233,238592
1,2,234,239616
1,2,235,240640
1,2,236,241664
1,2,237,242688
1,2,238,243712
1,2,239,244736
1,2,240,245760
1,2,241,246784
1,2,242,247808
1,2,243,248832
1,2,244,249856
1,2,245,250880
1,2,246,251904
1,2,247,252928
1,2,248,253952
1,2,249,254976
1,2,250,256000
1,2,251,257024
1,2,252,258048
1,2,253,259072
1,2,254,260096
1,2,255,261120
1,2,256,262144
1,2,257,263168
1,2,258,264192
1,2,259,265216
1,2,260,266240
1,2,261,267264
1,2,262,268288
1,2,263,269312
1,2,264,270336
1,2,265,271360
1,2,266,272384
1,2,267,273408
1,2,268,274432
1,2,269,275456
1,2,270,276480
1,2,271,277504
1,2,272,278528
1,2,273,279552
1,2,274,280576
1,2,275,281600
1,2,276,282624
1,2,277,283648
1,2,278,284672
1,2,279,285696
1,2,280,286720
1,2,281,287744
1,2,282,288768
1,2,283,289792
1,2,284,290816
1,2,285,291840
1,2,286,292864
1,2,287,293888
1,2,288,294912
1,2,289,295936
1,2,290,296960
1,2,291,297984
1,2,292,299008
1,2,293,300032
1,2,294,301056
1,2,295,302080
1,2,296,303104
1,2,297,304128
1,2,298,305152
1,2,299,306176
1,2,300,307200
1,2,301,308224
1,2,302,309248
1,2,303,310272
1,2,304,311296
1,2,305,312320
1,2,306,313344
1,2,307,314368
1,2,308,315392
1,2,309,316416
1,2,310,317440
1,2,311,318464
1,2,312,319488
1,2,313,320512
1,2,314,321536
1,2,315,322560
1,2,316,323584
1,2,317,324608
1,2,318,325632
1,2,319,326656
1,2,320,327680
1,2,321,328704
1,2,322,329728
1,2,323,330752
1,2,324,331776
1,2,325,332800
1,2,326,333824
1,2,327,334848
1,2,328,335872
1,2,329,336896
1,2,330,337920
1,2,331,338944
1,2,332,339968
1,2,333,340992
1,2,334,342016
1,2,335,343040
1,2,336,344064
1,2,337,345088
1,2,338,346112
1,2,339,347136
1,2,340,348160
1,2,341,349184
1,2,342,350208
1,2,343,351232
1,2,344,352256
1,2,345,353280
1,2,346,354304
1,2,347,355328
1,2,348,356352
1,2,349,357376
1,2,350,358400
1,2,351,359424
1,2,352,360448
1,2,353,361472
1,2,354,362496
1,2,355,363520
1,2,356,364544
1,2,357,365568
1,2,358,366592
1,2,359,367616
1,2,360,368640
1,2,361,369664
1,2,362,370688
1,2,363,371712
1,2,364,372736
1,2,365,373760
1,2,366,374784
1,2,367,375808
1,2,368,376832
1,2,369,377856
1,2,370,378880
1,2,371,379904
1,2,372,380928
1,2,373,381952
1,2,374,382976
1,2,375,384000
1,2,376,385024
1,2,377,386048
1,2,378,387072
1,2,379,388096
1,2,380,389120
1,2,381,390144
1,2,382,391168
1,2,383,392192
1,2,384,393216
1,2,385,394240
1,2,386,395264
1,2,387,396288
1,2,388,397312
1,2,389,398336
1,2,390,399360
1,2,391,400384
1,2,392,401408
1,2,393,402432
1,2,394,403456
1,2,395,404480
1,2,396,405504
1,2,397,406528
1,2,398,407552
1,2,399,408576
1,2,400,409600
1,2,401,410624
1,2,402,411648
1,2,403,412672
1,2,404,413696
1,2,405,414720
1,2,406,415744
1,2,407,416768
1,2,408,417792
1,2,409,418816
1,2,410,419840
1,2,411,420864
1,2,412,421888
1,2,413,422912
1,2,414,423936
1,2,415,424960
1,2,416,425984
1,2,417,427008
1,2,418,428032
1,2,419,429056
1,2,420,430080
1,2,421,431104
1,2,422,432128
1,2,423,433152
1,2,424,434176
1,2,425,435200
1,2,426,436224
1,2,427,437248
1,2,428,438272
1,2,429,439296
1,2,430,440320
1,2,431,441344
1,2,432,442368
1,2,433,443392
1,2,434,444416
1,2,435,445440
1,2,436,446464
1,2,437,447488
1,2,438,448512
1,2,439,449536
1,2,440,450560
1,2,441,451584
1,2,442,452608
1,2,443,453632
1,2,444,454656
1,2,445,455680
1,2,446,456704
1,2,447,457728
1,2,448,458752
1,2,449,459776
1,2,450,460800
1,2,451,461824
1,2,452,462848
1,2,453,463872
1,2,454,464896
1,2,455,465920
1,2,456,466944
1,2,457,467968
1,2,458,468992
1,2,459,470016
1,2,460,471040
1,2,461,472064
1,2,462,473088
1,2,463,474112
1,2,464,475136
1,2,465,476160
1,2,466,477184
1,2,467,478208
1,2,468,479232
1,2,469,480256
1,2,470,481280
1,2,471,482304
1,2,472,483328
1,2,473,484352
1,2,474,485376
1,2,475,486400
1,2,476,487424
1,2,477,488448
1,2,478,489472
1,2,479,490496
1,2,480,491520
1,2,481,492544
1,2,482,493568
1,2,483,494592
1,2,484,495616
1,2,485,496640
1,2,486,497664
1,2,487,498688
1,2,488,499712
1,2,489,500736
1,2,490,501760
1,2,491,502784
1,2,492,503808
1,2,493,504832
1,2,494,505856
1,2,495,506880
1,2,496,507904
1,2,497,508928
1,2,498,509952
1,2,499,510976
1,2,500,512000
1,2,501,513024
1,2,502,514048
1,2,503,515072
1,2,504,516096
1,2,505,517120
1,2,506,518144
1,2,507,519168
1,2,508,520192
1,2,509,521216
1,2,510,522240
1,2,511,523264
1,2,512,524288
1,2,513,525312
1,2,514,526336
1,2,515,527360
1,2,516,528384
1,2,517,529408
1,2,518,530432
1,2,519,531456
1,2,520,532480
1,2,521,533504
1,2,522,534528
1,2,523,535552
1,2,524,536576
1,2,525,537600
1,2,526,538624
1,2,527,539648
1,2,528,540672
1,2,529,541696
1,2,530,542720
1,2,531,543744
1,2,532,544768
1,2,533,545792
1,2,534,546816
1,2,535,547840
1,2,536,548864
1,2,537,549888
1,2,538,550912
1,2,539,551936
1,2,540,552960
1,2,541,553984
1,2,542,555008
1,2,543,556032
1,2,544,557056
1,2,545,558080
1,2,546,559104
1,2,547,560128
1,2,548,561152
1,2,549,562176
1,2,550,563200
1,2,551,564224
1,2,552,565248
1,2,553,566272
1,2,554,567296
1,2,555,568320
1,2,556,569344
1,2,557,570368
1,2,558,571392
1,2,559,572416
1,2,560,573440
1,2,561,574464
1,2,562,575488
1,2,563,576512
1,2,564,577536
1,2,565,578560
1,2,566,579584
1,2,567,580608
1,2,568,581632
1,2,569,582656
1,2,570,583680
1,2,571,584704
1,2,572,585728
1,2,573,586752
1,2,574,587776
1,2,575,588800
1,2,576,589824
1,2,577,590848
1,2,578,591872
1,2,579,592896
1,2,580,593920
1,2,581,594944
1,2,582,595968
1,2,583,596992
1,2,584,598016
1,2,585,599040
1,2,586,600064
1,2,587,601088
1,2,588,602112
1,2,589,603136
1,2,590,604160
1,2,591,605184
1,2,592,606208
1,2,593,607232
1,2,594,608256
1,2,595,609280
1,2,596,610304
1,2,597,611328
1,2,598,612352
1,2,599,613376
1,2,600,614400
1,2,601,615424
1,2,602,616448
1,2,603,617472
1,2,604,618496
1,2,605,619520
1,2,606,620544
1,2,607,621568
1,2,608,622592
1,2,609,623616
1,2,610,624640
1,2,611,625664
1,2,612,626688
1,2,613,627712
1,2,614,628736
1,2,615,629760
1,2,616,630784
1,2,617,631808
1,2,618,632832
1,2,619,633856
1,2,620,634880
1,2,621,635904
1,2,622,636928
1,2,623,637952
1,2,624,638976
1,2,625,640000
1,2,626,641024
1,2,627,642048
1,2,628,643072
1,2,629,644096
1,2,630,645120
1,2,631,646144
1,2,632,647168
1,2,633,648192
1,2,634,649216
1,2,635,650240
1,2,636,651264
1,2,637,652288
1,2,638,653312
1,2,639,654336
1,2,640,655360
1,2,641,656384
1,2,642,657408
1,2,643,658432
1,2,644,659456
1,2,645,660480
1,2,646,661504
1,2,647,662528
1,2,648,663552
1,2,649,664576
1,2,650,665600
1,2,651,666624
1,2,652,667648
1,2,653,668672
1,2,654,669696
1,2,655,670720
1,2,656,671744
1,2,657,672768
1,2,658,673792
1,2,659,674816
1,2,660,675840
1,2,661,676864
1,2,662,677888
1,2,663,678912
1,2,664,679936
1,2,665,680960
1,2,666,681984
1,2,667,683008
1,2,668,684032
1,2,669,685056
1,2,670,686080
1,2,671,687104
1,2,672,688128
1,2,673,689152
1,2,674,690176
1,2,675,691200
1,2,676,692224
1,2,677,693248
1,2,678,694272
1,2,679,695296
1,2,680,696320
1,2,681,697344
1,2,682,698368
1,2,683,699392
1,2,684,700416
1,2,685,701440
1,2,686,702464
1,2,687,703488
1,2,688,704512
1,2,689,705536
1,2,690,706560
1,2,691,707584
1,2,692,708608
1,2,693,709632
1,2,694,710656
1,2,695,711680
1,2,696,712704
1,2,697,713728
1,2,698,714752
1,2,699,715776
1,2,700,716800
1,2,701,717824
1,2,702,718848
1,2,703,719872
1,2,704,720896
1,2,705,721920
1,2,706,722944
1,2,707,723968
1,2,708,724992
1,2,709,726016
1,2,710,727040
1,2,711,728064
1,2,712,729088
1,2,713,730112
1,2,714,731136
1,2,715,732160
1,2,716,733184
1,2,717,734208
1,2,718,735232
1,2,719,736256
1,2,720,737280
1,2,721,738304
1,2,722,739328
1,2,723,740352
1,2,724,741376
1,2,725,742400
1,2,726,743424
1,2,727,744448
1,2,728,745472
1,2,729,746496
1,2,730,747520
1,2,731,748544
1,2,732,749568
1,2,733,750592
1,2,734,751616
1,2,735,752640
1,2,736,753664
1,2,737,754688
1,2,738,755712
1,2,739,756736
1,2,740,757760
1,2,741,758784
1,2,742,759808
1,2,743,760832
1,2,744,761856
1,2,745,762880
1,2,746,763904
1,2,747,764928
1,2,748,765952
1,2,749,766976
1,2,750,768000
1,2,751,769024
1,2,752,770048
1,2,753,771072
1,2,754,772096
1,2,755,773120
1,2,756,774144
1,2,757,775168
1,2,758,776192
1,2,759,777216
1,2,760,778240
1,2,761,779264
1,2,762,780288
1,2,763,781312
1,2,764,782336
1,2,765,783360
1,2,766,784384
1,2,767,785408
1,2,768,786432
1,2,769,787456
1,2,770,788480
1,2,771,789504
1,2,772,790528
1,2,773,791552
1,2,774,792576
1,2,775,793600
1,2,776,794624
1,2,777,795648
1,2,778,796672
1,2,779,797696
1,2,780,798720
1,2,781,799744
1,2,782,800768
1,2,783,801792
1,2,784,802816
1,2,785,803840
1,2,786,804864
1,2,787,805888
1,2,788,806912
1,2,789,807936
1,2,790,808960
1,2,791,809984
1,2,792,811008
1,2,793,812032
1,2,794,813056
1,2,795,814080
1,2,796,815104
1,2,797,816128
1,2,798,817152
1,2,799,818176
1,2,800,819200
1,2,801,820224
1,2,802,821248
1,2,803,822272
1,2,804,823296
1,2,805,824320
1,2,806,825344
1,2,807,826368
1,2,808,827392
1,2,809,828416
1,2,810,829440
1,2,811,830464
1,2,812,831488
1,2,813,832512
1,2,814,833536
1,2,815,834560
1,2,816,835584
1,2,817,836608
1,2,818,837632
1,2,819,838656
1,2,820,839680
1,2,821,840704
1,2,822,841728
1,2,823,842752
1,2,824,843776
1,2,825,844800
1,2,826,845824
1,2,827,846848
1,2,828,847872
1,2,829,848896
1,2,830,849920
1,2,831,850944
1,2,832,851968
1,2,833,852992
1,2,834,854016
1,2,835,855040
1,2,836,856064
1,2,837,857088
1,2,838,858112
1,2,839,859136
1,2,840,860160
1,2,841,861184
1,2,842,862208
1,2,843,863232
1,2,844,864256
1,2,845,865280
1,2,846,866304
1,2,847,867328
1,2,848,868352
1,2,849,869376
1,2,850,870400
1,2,851,871424
1,2,852,872448
1,2,853,873472
1,2,854,874496
1,2,855,875520
1,2,856,876544
1,2,857,877568
1,2,858,878592
1,2,859,879616
1,2,860,880640
1,2,861,881664
1,2,862,882688
1,2,863,883712
1,2,864,884736
1,2,865,885760
1,2,866,886784
1,2,867,887808
1,2,868,888832
1,2,869,889856
1,2,870,890880
1,2,871,891904
1,2,872,892928
1,2,873,893952
1,2,874,894976
1,2,875,896000
1,2,876,897024
1,2,877,898048
1,2,878,899072
1,2,879,900096
1,2,880,901120
1,2,881,902144
1,2,882,903168
1,2,883,904192
1,2,884,905216
1,2,885,906240
1,2,886,907264
1,2,887,908288
1,2,888,909312
1,2,889,910336
1,2,890,911360
1,2,891,912384
1,2,892,913408
1,2,893,914432
1,2,894,915456
1,2,895,916480
1,2,896,917504
1,2,897,918528
1,2,898,919552
1,2,899,920576
1,2,900,921600
1,2,901,922624
1,2,902,923648
1,2,903,924672
1,2,904,925696
1,2,905,926720
1,2,906,927744
1,2,907,928768
1,2,908,929792
1,2,909,930816
1,2,910,931840
1,2,911,932864
1,2,912,933888
1,2,913,934912
1,2,914,935936
1,2,915,936960
1,2,916,937984
1,2,917,939008
1,2,918,940032
1,2,919,941056
1,2,920,942080
1,2,921,943104
1,2,922,944128
1,2,923,945152
1,2,924,946176
1,2,925,947200
1,2,926,948224
1,2,927,949248
1,2,928,950272
1,2,929,951296
1,2,930,952320
1,2,931,953344
1,2,932,954368
1,2,933,955392
1,2,934,956416
1,2,935,957440
1,2,936,958464
1,2,937,959488
1,2,938,960512
1,2,939,961536
1,2,940,962560
1,2,941,963584
1,2,942,964608
1,2,943,965632
1,2,944,966656
1,2,945,967680
1,2,946,968704
1,2,947,969728
1,2,948,970752
1,2,949,971776
1,2,950,972800
1,2,951,973824
1,2,952,974848
1,2,953,975872
1,2,954,976896
1,2,955,977920
1,2,956,978944
1,2,957,979968
1,2,958,980992
1,2,959,982016
1,2,960,983040
1,2,961,984064
1,2,962,985088
1,2,963,986112
1,2,964,987136
1,2,965,988160
1,2,966,989184
1,2,967,990208
1,2,968,991232
1,2,969,992256
1,2,970,993280
1,2,971,994304
1,2,972,995328
1,2,973,996352
1,2,974,997376
1,2,975,998400
1,2,976,999424
1,2,977,1000448
1,2,978,1001472
1,2,979,1002496
1,2,980,1003520
1,2,981,1004544
1,2,982,1005568
1,2,983,1006592
1,2,984,1007616
1,2,985,1008640
1,2,986,1009664
1,2,987,1010688
1,2,988,1011712
1,2,989,1012736
1,2,990,1013760
1,2,991,1014784
1,2,992,1015808
1,2,993,1016832
1,2,994,1017856
1,2,995,1018880
1,2,996,1019904
1,2,997,1020928
1,2,998,1021952
1,2,999,1022976
1,2,1000,1024000
